x,y,z,vx,vy,vz,m,id
0.50221634,4.00E-02,-1.7758552,8.31E-02,0.53797787,-0.36653703,1.56E-05,142
-0.972947,-0.35298339,-1.7914851,-0.14322001,8.44E-02,-3.20E-02,1.56E-05,143
-8.38E-02,0.10050384,0.37283686,-9.50E-02,0.53204221,-0.22980571,1.56E-05,144
-0.87863451,1.827185,0.72292686,-0.26195294,-0.30908597,0.43170929,1.56E-05,145
1.96E-02,8.20E-02,-7.04E-02,-2.73E-02,0.19882734,0.59182894,1.56E-05,146
0.51143718,0.22739799,4.72E-02,-0.13738109,0.51018304,-0.31537169,1.56E-05,147
0.64765602,-0.61455119,0.17498624,0.21624225,-1.11E-02,-9.57E-02,1.56E-05,148
-0.1284498,-0.58612376,8.34E-02,0.26281044,-0.62450683,0.66487432,1.56E-05,149
0.29549628,-1.95E-02,4.38E-02,4.26E-02,0.52234149,0.72664762,1.56E-05,150
-0.78552151,2.7753572,-1.4939466,-6.49E-02,0.12922621,0.23290998,1.56E-05,151
2.4543476,0.12943812,2.8135836,-0.21673775,0.12344173,0.30513901,1.56E-05,152
1.53E-02,-0.97082049,0.73379296,9.49E-02,0.20524999,-0.28889519,1.56E-05,153
-0.4853794,0.16499211,7.57E-02,0.61137706,0.1261372,0.11108218,1.56E-05,154
-0.57281953,-0.11261696,-0.18463641,0.64500082,0.77414221,-2.21E-02,1.56E-05,155
-0.40882328,0.16960247,-0.62258881,-8.81E-03,0.21220556,-0.43142959,1.56E-05,156
1.0474499,-0.88423741,-1.7640435,8.62E-02,-1.49E-02,0.14348678,1.56E-05,157
2.4712777,2.45E-02,0.33761379,0.15230234,0.20676996,-0.46400449,1.56E-05,158
0.58861291,-0.63408393,4.20E-02,0.54511213,5.17E-02,0.35463721,1.56E-05,159
0.92030257,-0.18411887,0.51539683,-0.14112332,0.69738436,0.36959124,1.56E-05,160
-0.17194121,5.24E-02,0.52172661,-0.2881324,-0.58846688,0.32572198,1.56E-05,161
0.73727953,-0.99222225,-0.70401448,0.28103387,-0.34322569,1.14E-02,1.56E-05,162
-0.37288183,0.55566519,-0.6017822,0.71354508,-0.53296953,0.20579843,1.56E-05,163
-0.1962046,-0.57530433,0.65616626,-7.91E-02,-3.51E-02,2.45E-02,1.56E-05,164
-1.0030842,2.88E-02,-0.86212039,0.39917046,0.370083,-0.2094782,1.56E-05,165
0.43428931,-0.53178304,-0.91183794,0.49334449,-0.10768384,-0.11171952,1.56E-05,166
0.1806132,2.3347743,-0.38186204,-0.34993261,1.16E-02,3.56E-02,1.56E-05,167
-0.22858413,9.21E-02,-5.37E-03,-0.12550648,7.17E-02,-6.17E-03,1.56E-05,168
-7.18E-02,-0.17871997,-0.24792224,-0.30281362,0.12922566,0.36163288,1.56E-05,169
0.30898416,0.12902521,0.47853857,0.92476571,0.52920288,-0.22958001,1.56E-05,170
5.57E-02,0.41655409,-0.11203421,1.1730647,-0.56874901,0.29227951,1.56E-05,171
0.11522517,0.78987503,0.18760139,0.51629651,0.69362968,-7.80E-02,1.56E-05,172
-0.1233116,-0.68063968,-1.1223079,-0.37290889,7.45E-02,-0.16110508,1.56E-05,173
0.243577,0.60457635,-0.13298909,0.15479015,0.63382363,0.25481099,1.56E-05,174
5.59E-02,0.67797792,-0.85792053,-0.40574846,7.01E-02,-0.69401377,1.56E-05,175
-0.99877769,2.4209087,-0.83439958,-0.16913877,0.26410991,-0.10356778,1.56E-05,176
0.24079464,-0.45022064,-1.73E-02,8.84E-02,0.49526641,-0.39421904,1.56E-05,177
1.90E-02,0.23020183,-0.41764894,-0.79480767,0.13952921,0.68894947,1.56E-05,178
8.46E-03,-0.3809903,-8.62E-02,-0.49890754,0.56645024,-0.71739966,1.56E-05,179
-0.38207793,-0.81093049,-1.3051165,0.36992806,-7.55E-02,-0.48410195,1.56E-05,180
-0.28728181,-0.16091762,0.33811295,-0.2501986,2.98E-03,-0.3869063,1.56E-05,181
0.68303102,-0.56802613,0.23078929,-0.61055088,0.17580581,0.56534815,1.56E-05,182
-1.9997615,1.2992254,-1.8024474,-0.13346352,-0.35191959,-0.19878794,1.56E-05,183
0.41900086,0.1132927,0.54069209,0.1302982,1.0297327,-4.11E-02,1.56E-05,184
-0.93124664,-0.14294063,0.36490902,-0.19849354,0.18638462,-5.21E-02,1.56E-05,185
0.71459025,1.0175024,-1.4900873,-0.45886901,0.50855815,-0.18138731,1.56E-05,186
0.33350047,-0.15607047,0.23732139,-0.61561513,9.10E-02,-0.65002126,1.56E-05,187
0.5142048,8.39E-02,0.11974552,0.88913268,0.244353,-0.43100649,1.56E-05,188
-0.19107004,-1.493486,-0.93485224,0.12041575,-0.25921297,0.33034202,1.56E-05,189
-0.99870276,-0.95131105,0.57138574,-4.11E-02,0.76558352,-0.33947492,1.56E-05,190
-0.58868247,0.47263494,-0.48671088,0.21471623,0.97256064,-8.08E-02,1.56E-05,191
0.28199482,-0.16942859,-0.11463428,-0.29564866,0.53199804,7.03E-02,1.56E-05,192
-2.61E-02,-0.48969293,-0.10786653,0.16215393,0.16771366,-6.19E-02,1.56E-05,193
1.002852,-0.9821223,-0.93526918,0.74634069,-8.91E-02,0.31096837,1.56E-05,194
1.7103184,0.60797602,-0.75165242,-0.35592929,-0.18617074,0.23689801,1.56E-05,195
-0.13231727,0.33102179,0.61060303,0.82509023,-0.7212401,-0.12871641,1.56E-05,196
-1.7270395,0.71271628,-0.59619898,0.29411924,0.34597096,-0.13573857,1.56E-05,197
-0.33376402,-0.17128113,6.14E-02,0.11803188,1.027245,0.2026926,1.56E-05,198
-0.72480434,3.81E-03,4.43E-02,-1.79E-02,-4.75E-02,0.37602124,1.56E-05,199
5.68E-02,0.15664816,-8.77E-02,0.18485706,0.24341528,-0.4803066,1.56E-05,200
0.57626474,0.1946972,5.83E-02,0.32993767,0.91944551,0.40502954,1.56E-05,201
-0.14353451,1.3078599,-0.27255273,6.75E-02,9.60E-02,-9.29E-02,1.56E-05,202
0.11587931,-0.82213402,-0.70759952,-0.26337343,0.2563307,-0.26372758,1.56E-05,203
-1.0304155,2.4437146,-0.13163549,-0.25934348,-0.31524155,-0.43118653,1.56E-05,204
4.59E-02,0.7935372,0.27954921,2.01E-02,0.39507389,0.78102189,1.56E-05,205
2.1708076,-0.9267329,-1.2415535,-0.28236115,9.47E-02,1.59E-02,1.56E-05,206
-0.51226366,7.98E-02,-0.38234344,2.61E-02,0.20716529,-0.23458213,1.56E-05,207
-6.70E-02,-0.21112619,0.20958719,-0.15481834,-0.11124495,-0.58951652,1.56E-05,208
-1.41E-02,7.34E-03,1.68E-02,0.21919069,-0.34510571,0.3370969,1.56E-05,209
3.30E-03,0.11960874,1.23E-02,1.15377,0.50908166,0.64103794,1.56E-05,210
-0.33195075,2.61E-03,0.19736585,0.1574692,-0.60598725,-6.26E-02,1.56E-05,211
